Video,ObjectID,C
2,8850,14.954
2,8876,14.954
2,8880,-7.9063
2,8899,-7.9063
2,8950,-7.9063
2,8960,14.954
2,9019,14.954
2,9024,-3.3342
2,9076,14.954
2,9083,-3.3342
2,9098,-3.3342
2,9105,-0.28608
2,9119,14.954
2,9120,22.574
2,9122,3.5238
2,9140,14.954
2,9149,-7.9063
2,9163,14.954
2,9290,14.954
2,9348,14.954
2,9441,14.954
2,9471,2.4847
2,9498,14.954
2,9546,14.954
2,9548,14.954
2,9581,8.4221
2,9587,14.954
2,9594,27.422
2,9610,1.0391
2,9625,-3.3342
2,9626,19.525
2,9628,14.954
2,9629,24.097
2,9636,3.5238
2,9637,14.954
2,9641,9.2384
2,9657,22.574
2,9658,5.8098
2,9659,14.954
2,9663,14.954
2,9680,-7.9063
2,9682,14.954
2,9688,14.954
2,9694,14.954
2,9704,14.954
